Id,ProductClassificationId,Isin,IsSecondaryMarket,Code,ExchangeCode,AssetId,AssetName,AssetCurrency,Currency,Status,FollowCode,IsSiat,AssetNMP,AssetIsin,AssetNMPExchangeCode,AssetDecimalPlaces,AssetRic,MarketingAssetNMPExchangeCode,MarketingAssetNMP,MarketingAssetId,MarketingAssetISIN,MarketingAssetRic,MigratedToOneFlow,MaturityDate,AssetCurrencyRaw,TodayBarrierHitDate,IssueDate,Venue,IsPanther,EsgEligible,FkAssetType,PutOrCall,Ratio,Strike,BarrierTurboCertificate,CurrentLeverage,IsQuanto,Bid,Offer,BrokerLinks,RatioSuffix,StrikeSuffix,BarrierTurboCertificateSuffix,CurrentLeverageDecimalPlaces,_asset_name,_typ,StrategyExtended,FactorLeverage,_spot
1118727,45,DE000SB8MB83,True,SB8MB8,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2020-09-01T00:00:00,,False,,2,Call,100.0,14041.554763,14390.0,2.1703692165402,,120.16,120.17,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
3809566,45,DE000SU3CU61,False,SU3CU6,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2023-11-02T00:00:00,,False,,2,Call,100.0,18135.639698,18590.0,3.29448763767896,,79.22,79.23,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
4558437,45,DE000SY60193,False,SY6019,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2024-08-09T00:00:00,,False,,2,Call,100.0,19818.269255,20310.0,4.1855125770971,,62.39,62.4,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6582227,45,DE000FE34SQ3,False,FE34SQ,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-04-17T00:00:00,,False,,2,Call,100.0,23396.693161,23980.0,9.84982044448292,,26.62,26.63,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6582328,45,DE000FE34SV3,False,FE34SV,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-04-17T00:00:00,,False,,2,Call,100.0,23497.029044,24080.0,10.2407626634297,,25.61,25.62,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6582440,45,DE000FE34SC3,False,FE34SC,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-04-17T00:00:00,,False,,2,Call,100.0,23105.92393,23680.0,8.87602577716005,,29.51,29.52,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6582650,45,DE000FE34S33,False,FE34S3,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-04-17T00:00:00,,False,,2,Call,100.0,23607.603269,24200.0,10.7169796638953,,24.46,24.47,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
683978,45,DE000CL7J349,True,CL7J34,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2020-04-07T00:00:00,,False,,2,Call,100.0,11008.901612,11290.0,1.73249896968666,,150.48,150.49,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
683980,45,DE000CL7J3D9,True,CL7J3D,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2020-04-07T00:00:00,,False,,2,Call,100.0,12622.681967,12940.0,1.94089485786286,,134.35,134.36,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
683652,45,DE000CL7J3W9,True,CL7J3W,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2020-04-07T00:00:00,,False,,2,Call,100.0,11119.478146,11400.0,1.74534271120066,,149.38,149.39,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
683788,45,DE000CL7J3R9,True,CL7J3R,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2020-04-07T00:00:00,,False,,2,Call,100.0,11182.715396,11460.0,1.75278809128449,,148.75,148.76,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6546534,45,DE000FE3JTD7,False,FE3JTD,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-04-08T00:00:00,,False,,2,Call,100.0,21048.950711,21570.0,5.21784408840773,,50.09,50.1,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
