Basiswert,Yahoo,Produkte,Kurs EUR,Vola typisch %,Vola std %,std/MAD,Sprungtage/Jahr,groesster Tag %,engster KO %,KO in Sigma,Hebel,Spread %,Sleeve-Tagesvola %,WKN
Costco Wholesale,COST,92,788.9150253872633,1.0684437774461368,1.295178042552955,1.2122098231961003,0.0,4.213489657649083,13.283151547008593,12.432241946093633,7.25273235366906,1.8867924528301903,7.7491367527599815,SU5W3U
Block (Square),XYZ,139,71.53772719449226,2.3142287374575887,2.6038086085398584,1.1251301854458875,0.0,7.318576401902776,31.724948665496594,13.708648653438475,3.08833982581046,1.746724890829696,7.14712477592533,FE0622
Spotify Technology,SPOT,215,469.8493553107247,2.971390286571012,2.4222955577287064,0.8152061237717912,3.968503937007874,13.06424452937982,41.05895876520318,13.818096852091843,2.39238731798791,1.812688821752263,7.10871643838495,FA24P5
Danaher,DHR,72,179.20569621342514,1.920081120580741,2.449905206469277,1.2759383862533302,1.984251968503937,10.989013990574314,27.810689606539164,14.48412221152804,3.57763473679027,1.9960079840319291,6.8693489144448465,CJ9HKK
Airbnb,ABNB,146,156.5935843373494,2.0027043244309777,2.9949929449457082,1.4954743485644924,1.984251968503937,17.42944344562858,29.28291438400966,14.621686300262883,3.35126518083622,1.9438444924406015,6.71159326997566,FE3N32
Booking Holdings,BKNG,83,165.7101290877797,2.388670522788019,2.605877455751516,1.0909321444256685,0.0,7.28660908055998,36.00117202773627,15.071635742260622,2.77936064915292,1.6393442622950833,6.638976854828553,FE3LE4
Nasdaq,NDAQ,69,83.63707608882768,1.5951849418938706,1.9966999693771712,1.2517043741690572,0.0,6.719677386582501,23.47537765301076,14.716398730005439,4.10911953270753,1.9417475728155356,6.55480560301703,FE5UFH
Citigroup,C,71,118.72627710843375,1.3593221238260085,1.7812385614751087,1.3103873837214945,0.0,5.723881058254743,21.3201290745761,15.684383194299464,4.65104890709649,1.9531250000000104,6.322273678413036,FG1SSZ
eBay,EBAY,79,89.3065068846816,2.314422824824051,2.0593009312847763,0.8897686754542488,0.0,6.034562541794875,39.35624206106567,17.004776153664857,2.51425313872444,1.9718309859154886,5.8190448516493545,SY3N89
First Solar,FSLR,140,176.76065760027544,2.6138774576631696,3.0457451484199014,1.1652210930893545,7.937007874015748,11.411335465445616,43.81784519335003,16.763542248274938,2.21866320819136,1.8750000000000044,5.7993137460380435,FE6TRJ
Gilead Sciences,GILD,96,130.95649079015323,1.687339597032827,1.8451234164687265,1.093510411130848,0.0,5.2079314622431205,30.32173577340249,17.970144140944132,3.28129038547704,1.9950124688279212,5.536651196778519,SX4E9V
Klarna Group,KLAR,76,12.426996470993286,2.68536651879672,4.349582996727034,1.619735319659839,13.88976377952756,22.80881474659099,47.50503794427701,17.690336723779307,2.03600235162822,1.6129032258064528,5.467412547253809,FG3P2H
Vertex,VRTX,89,473.29681442589094,1.7335372797659065,1.8868875291699914,1.0884608893007441,1.984251968503937,8.310373579605269,31.478672785495664,18.15863619024477,3.14848450530626,1.9281914893616965,5.45801526471372,FA3TDT
Cadence Design Systems,CDNS,76,252.1720899311532,1.8758094420367517,2.4032276802155716,1.281168345973432,7.937007874015748,10.463289614776716,37.920337735102386,20.21545306538628,2.61551820739611,1.9427402862985634,4.906213749252662,SF42SU
Albemarle,ALB,130,108.02733648881241,2.423550116074171,2.9881128189608774,1.2329486397422733,5.952755905511811,16.312433616285183,50.64464582795685,20.896884075991153,2.02162200704472,1.9891500904159187,4.89950224983133,FC8J20
Cameco,CCJ,104,87.06949741824441,2.477026142963699,2.7511418618365484,1.1106632320581311,5.952755905511811,9.279069034513544,51.70560233424235,20.87406403889541,1.91431701226689,1.9780219780219748,4.7418132853052475,SX30XE
SLB,SLB,61,49.72691513169221,1.8647234351388957,2.606385897386967,1.3977332232073478,1.984251968503937,11.012276183428614,41.41170929606408,22.20796313045719,2.42636656040916,1.9230769230769247,4.524502587432316,FC15SA
Altria Group,MO,67,59.29943459552496,1.5533846822861317,2.011853574952953,1.2951418910556582,1.984251968503937,9.316598903004646,34.215231623780255,22.02624502092126,2.88419498696363,1.960784313725492,4.480264313475751,SW9NRD
PepsiCo,PEP,85,118.25934153899124,1.37165237622207,1.4670354103106187,1.0695387809200325,0.0,4.254069442594388,31.92936433193013,23.278029393914583,3.08388957205758,1.3054830287206336,4.230024459519242,CJ5K6V
American Express,AXP,96,281.28173278829604,1.3797939291418513,1.545680070984678,1.120225302010133,0.0,4.310605697390846,33.56033585911096,24.322715987005004,2.95312673366789,1.8887722980062929,4.07470633910146,SU4C0R
Twilio,TWLO,94,199.92855913238077,2.225172193762406,4.137551806402221,1.8594299434446422,7.937007874015748,24.886129705237625,53.86187009475755,24.205708774243597,1.8225130320942,1.931922723091068,4.055405321785625,FC1AAD
